,brand,processor_brand,processor_name,ram,ram_type,ssd,clock,gpu,gpu_memory,price
335,7,1,2,16,2,0.512,5.0,5,0,86990
336,5,0,6,8,0,0.512,4.0,1,0,35990
338,5,1,1,16,0,0.512,4.2,5,0,44990
339,0,1,1,16,1,1.0,4.6,13,6,94990
340,5,1,1,8,0,0.512,4.2,6,0,41990
341,5,0,8,32,1,1.0,4.7,16,8,124990
342,5,1,2,16,0,0.512,4.7,5,0,47990
343,5,0,8,16,0,0.512,4.3,1,0,45990
344,5,1,1,8,0,0.512,2.5,9,4,47990
345,5,1,1,16,3,0.512,4.4,7,0,59990
346,5,1,2,16,0,0.512,4.4,5,0,59990
347,5,1,2,16,2,0.512,5.0,5,0,87990
348,5,0,6,8,0,0.512,4.0,1,0,35990
349,0,0,8,16,0,0.512,4.4,12,4,69990
350,5,1,1,16,0,0.512,4.4,5,0,51990
351,5,1,0,8,0,0.512,4.1,8,0,34990
352,5,0,6,8,0,0.512,4.2,9,4,46990
353,5,1,1,16,2,0.512,4.5,5,0,69990
354,0,0,6,16,2,0.512,4.2,1,0,54990
355,0,1,1,16,0,0.512,4.5,6,0,67990
356,5,0,6,8,0,0.512,4.0,1,0,38990
357,5,1,1,8,0,0.512,4.4,7,0,44990
358,0,1,1,8,0,0.512,4.5,5,0,56990
359,4,1,0,8,0,0.256,4.1,8,0,32990
360,5,1,0,8,0,0.256,4.4,7,0,33990
361,5,1,1,16,1,0.512,3.3,18,6,87990
362,5,1,1,16,3,0.512,4.7,5,0,71990
363,4,1,1,8,0,0.512,4.4,4,0,50990
364,4,1,1,16,0,0.512,4.4,8,0,66990
365,5,1,0,8,0,0.256,4.4,7,0,31990
366,5,1,0,8,0,0.512,4.4,8,0,36990
367,4,0,6,16,0,0.512,4.0,1,0,41999
368,5,0,6,16,2,0.512,4.5,1,0,64990
369,5,1,1,16,1,0.512,4.4,13,6,74990
370,5,0,8,16,0,1.0,4.4,15,6,104990
371,5,1,1,16,1,0.512,3.3,12,4,64990
372,5,1,1,16,3,0.512,3.8,7,0,68990
373,0,0,6,16,0,0.512,4.2,12,4,61990
374,4,0,6,16,0,0.512,4.0,3,0,41990
375,5,1,1,8,0,0.512,2.5,9,4,52327
376,5,1,1,16,0,0.512,4.4,13,4,67990
377,6,1,2,16,0,0.256,4.6,13,4,63990
378,0,1,0,8,0,0.512,4.4,4,0,36990
379,5,1,0,8,2,0.512,4.5,7,0,58990
380,5,0,5,8,3,0.512,2.4,1,0,30990
381,5,1,1,16,0,1.0,4.4,5,0,59999
382,5,0,8,8,0,0.512,4.5,1,0,52390
383,6,1,2,8,0,0.512,2.3,13,4,68590
384,0,1,1,16,3,0.512,4.7,5,0,82990
385,0,0,7,8,3,0.512,2.8,1,0,39990
386,5,1,1,8,0,0.512,4.5,12,4,49990
387,5,1,1,16,0,1.0,4.4,5,0,74990
388,5,0,8,16,0,0.512,4.5,1,0,49990
389,5,1,1,8,0,0.512,2.5,9,4,47990
390,6,1,1,8,1,0.512,3.3,13,6,69990
391,5,0,6,16,2,0.512,4.5,1,0,73990
392,5,1,0,8,0,0.512,4.1,7,0,36490
393,6,1,1,16,0,0.256,3.3,19,8,86990
394,6,1,1,16,0,0.512,4.4,12,4,49990
395,5,1,2,16,3,0.512,5.0,5,0,85990
396,5,1,0,8,0,0.256,4.1,4,0,33990
397,5,0,8,16,1,1.0,4.4,15,6,109990
398,1,1,2,16,1,0.512,5.0,18,6,104990
399,4,1,1,8,0,0.512,4.4,9,4,58990
400,5,0,6,16,0,0.512,4.2,9,4,49990
401,0,1,2,16,3,1.0,5.0,4,0,129990
402,0,1,1,8,0,0.512,4.5,12,4,63190
403,5,1,2,32,1,1.0,5.0,19,8,149990
404,5,1,0,8,0,0.512,3.0,7,0,35900
405,5,1,2,16,1,0.512,4.9,19,8,111990
406,6,1,2,8,1,0.512,3.2,13,6,79990
407,6,1,2,16,1,0.512,3.6,13,6,92990
408,5,0,8,16,0,0.512,4.5,1,0,63990
409,0,1,1,16,3,0.512,4.6,4,0,92990
410,6,1,2,16,1,1.0,4.7,20,8,129990
411,5,0,6,16,0,0.512,4.0,1,0,41990
412,5,1,1,8,0,0.512,4.5,12,4,47990
413,5,1,2,16,3,0.512,5.0,5,0,111490
414,6,1,2,16,0,0.512,3.2,18,6,82990
415,1,1,1,16,0,0.512,3.3,13,4,78990
416,5,0,5,8,3,0.512,2.4,1,0,32990
417,0,1,1,16,0,0.512,4.5,13,4,73990
419,5,1,0,8,3,0.512,4.5,7,0,44990
420,5,0,6,8,0,0.512,4.0,1,0,34990
421,6,1,2,16,1,1.0,4.7,19,8,105990
422,5,1,1,16,0,0.512,4.5,9,4,53415
423,5,1,0,4,0,0.256,4.1,7,0,34990
424,5,1,1,8,0,0.512,4.4,7,0,47481
425,5,0,8,16,1,0.512,5.1,18,6,97990
426,1,1,1,8,0,0.512,4.4,13,4,65990
427,5,1,2,32,1,1.0,4.7,16,8,144990
428,5,0,6,8,0,0.512,3.3,13,4,57490
429,5,0,6,8,1,0.512,4.5,13,4,57990
430,6,1,2,16,1,1.0,4.7,19,8,99990
431,1,1,1,16,1,0.512,4.7,18,6,99990
433,5,0,8,16,1,0.512,5.1,19,8,105990
434,5,0,6,16,0,0.512,4.5,1,0,58990
435,5,0,8,16,1,1.0,5.1,19,8,131990
436,5,1,1,8,0,0.512,4.5,13,4,73099
437,5,1,2,16,3,0.512,4.9,7,0,87490
438,5,1,1,8,0,0.512,4.2,10,2,84086
440,5,1,1,16,0,0.512,4.2,5,0,54990
441,5,0,8,16,0,0.512,4.4,15,6,96990
442,5,1,1,8,0,1.0,4.2,5,0,66100
443,5,1,1,8,0,0.512,4.2,5,0,41990
444,5,1,1,8,2,0.512,4.4,5,0,61990
445,5,0,5,8,0,0.256,3.8,4,0,35990
446,5,1,1,8,0,0.512,4.4,9,4,54500
447,5,0,6,16,2,0.512,4.0,1,0,55990
448,5,1,1,8,0,0.512,4.4,9,4,54900
449,5,0,6,8,0,0.512,4.5,1,0,58990
450,5,1,1,8,0,0.512,4.2,7,0,72500
451,5,1,0,4,0,0.256,4.1,7,0,34990
452,5,1,0,8,0,0.256,4.1,7,0,30490
453,5,0,8,16,0,0.512,4.1,0,0,73799
454,5,0,6,8,0,0.512,4.0,2,0,43990
455,5,0,8,16,1,0.512,5.1,18,6,112990
456,5,0,6,16,0,0.512,4.2,13,4,68990
457,5,0,8,16,0,1.0,3.2,15,6,99990
458,5,1,1,8,0,0.512,4.2,5,0,57500
459,5,1,1,8,0,0.512,4.4,7,0,47480
460,5,1,2,16,0,0.512,4.6,13,4,104990
461,5,1,1,8,0,0.256,4.5,9,4,56976
462,5,1,1,8,0,0.512,4.5,9,4,49990
464,5,0,6,8,0,0.512,4.0,1,0,41490
465,5,0,6,8,0,0.512,4.2,9,4,51990
466,5,1,0,8,0,0.256,4.1,7,0,33990
467,5,0,8,16,2,1.0,4.5,1,0,85990
468,5,1,0,4,0,0.256,4.1,7,0,34990
469,5,1,2,16,0,0.512,4.7,15,6,109490
470,5,0,6,8,0,0.512,2.1,0,0,42990
471,5,0,6,16,2,0.512,4.0,2,0,63490
472,5,0,8,8,0,0.512,4.5,1,0,52390
474,5,1,1,16,0,0.512,4.2,7,0,64990
475,5,1,0,8,0,0.512,3.4,7,0,36900
476,5,0,8,16,0,0.512,3.2,13,4,80990
477,5,0,8,16,0,0.512,3.2,15,6,81990
478,5,0,8,8,0,0.512,4.4,13,4,71946
479,5,1,0,8,0,0.512,4.1,7,0,38150
480,5,1,0,8,0,0.256,4.1,7,0,36990
481,5,1,2,16,3,1.0,4.7,13,4,135141
482,5,1,2,16,0,0.512,4.7,5,0,140131
484,5,1,1,8,0,0.256,4.2,7,0,74000
485,5,1,1,16,0,0.512,3.1,13,4,66990
486,5,1,1,8,0,0.512,4.4,5,0,47999
487,5,1,1,8,0,0.256,4.2,7,0,48990
488,5,0,6,16,0,0.512,3.3,13,4,68990
489,5,0,8,16,1,0.512,5.1,19,8,137590
490,5,1,1,8,0,0.512,4.2,7,0,72699
491,5,1,0,8,0,0.512,4.1,7,0,37515
492,5,1,1,16,0,0.512,4.2,5,0,73750
493,5,1,1,8,0,0.512,4.2,5,0,72000
494,5,0,6,8,0,0.512,4.2,1,0,56990
495,5,1,0,8,0,0.256,4.1,7,0,39500
497,5,1,0,8,0,0.256,4.1,7,0,37990
498,5,1,1,8,0,0.512,4.4,13,4,65200
499,5,1,0,8,0,0.512,4.1,7,0,40990
500,5,0,6,8,0,0.256,4.0,0,0,58990
501,5,1,1,16,0,0.512,4.2,5,0,99899
502,7,1,1,16,0,0.512,4.4,7,0,54990
503,1,1,0,8,0,0.512,4.1,4,0,26990
504,1,1,1,16,0,0.512,4.5,5,0,40990
505,1,1,0,8,3,0.256,3.8,7,0,32990
506,1,1,0,8,3,0.512,3.8,7,0,34990
507,1,1,2,16,1,0.512,3.2,18,6,89990
508,1,1,1,8,0,0.512,3.3,12,4,52990
509,1,0,5,8,3,0.512,2.4,1,0,29990
510,1,1,0,16,0,0.512,4.4,7,0,36990
511,1,1,2,16,0,1.0,4.7,5,0,53990
512,1,1,1,16,0,0.512,4.4,13,4,70990
513,1,1,1,16,0,0.512,3.3,13,4,61744
514,4,1,1,16,0,0.512,4.5,4,0,53342
515,5,1,1,16,0,0.512,4.2,5,0,50990
516,1,0,7,8,3,0.512,4.3,1,0,35990
517,1,1,1,8,0,0.512,4.5,5,0,38990
519,3,1,1,16,0,0.512,4.5,15,6,79990
