,brand,processor_brand,processor_name,ram,ram_type,ssd,clock,gpu,gpu_memory,price
49,HP,AMD,Ryzen 3 Quad Core,8,LPDDR5,0.512,4.1,AMD Radeon AMD,0,35990
50,HP,Intel,Core i5,8,LPDDR4X,0.512,2.4,Intel Integrated Iris Xe,0,74990
51,MSI,Intel,Core i5,8,DDR5,0.512,4.4,NVIDIA GeForce RTX 3050,6,69990
52,MSI,Intel,Core i5,16,DDR4,0.256,4.4,NVIDIA GeForce RTX 4060,8,86990
53,HP,AMD,Ryzen 5 Hexa Core,16,DDR4,0.512,4.3,AMD Radeon Radeon,0,55990
54,HP,AMD,Ryzen 7 Octa Core,16,DDR4,0.512,4.3,AMD Radeon AMD,0,50990
55,HP,Intel,Core i5,8,DDR4,0.512,4.5,NVIDIA GeForce GTX 1650,4,56990
56,HP,AMD,Ryzen 5 Hexa Core,8,DDR4,0.256,2.1,AMD Radeon AMD Radeon™ Graphics,0,32999
57,MSI,Intel,Core i5,16,DDR4,0.512,4.4,NVIDIA GeForce RTX 2050,4,49990
58,Lenovo,Intel,Core i5,16,DDR4,0.512,4.4,Intel Integrated Iris Xe,0,70990
59,HP,AMD,Ryzen 5 Hexa Core,8,DDR5,0.512,4.55,NVIDIA GeForce RTX 2050,4,56990
60,HP,Intel,Core i7,16,DDR4,0.512,4.7,NVIDIA GeForce RTX 3050,4,84990
61,MSI,Intel,Core i7,16,DDR5,1.0,4.9,NVIDIA GeForce RTX 4050,6,103990
62,Lenovo,Intel,Core i5,16,DDR4,0.512,4.4,Intel Integrated Iris Xe Graphics,0,61990
63,HP,Intel,Core i5,16,DDR4,0.512,4.6,Intel Integrated Integrated,0,64990
64,HP,Intel,Core i5,8,DDR4,0.512,4.0,Intel Integrated Intel Iris Xe Graphics,0,54990
65,HP,AMD,Ryzen 5 Hexa Core,16,DDR4,0.512,4.2,NVIDIA GeForce GTX 1650,4,59490
66,HP,AMD,Ryzen 7 Octa Core,16,DDR4,0.512,4.4,NVIDIA GeForce RTX 3050,4,78990
67,MSI,Intel,Core i7,16,DDR4,0.256,4.6,NVIDIA GeForce RTX 3050,4,63990
68,MSI,Intel,Core i7,16,DDR4,0.512,4.7,NVIDIA GeForce RTX 4050,6,82990
69,HP,Intel,Core i5,16,DDR4,0.512,4.6,Intel Integrated Iris Xe,0,66490
70,ASUS,Intel,Core i5,8,DDR4,0.512,4.4,NVIDIA GeForce RTX 2050,4,50990
71,SAMSUNG,Intel,Core i5,16,DDR4X,0.512,5.0,Intel Integrated Iris Xe,0,112990
72,HP,Intel,Core i7,16,DDR4,0.512,5.0,NVIDIA GeForce RTX 4050,6,104990
73,HP,AMD,Ryzen 7 Octa Core,16,LPDDR5,1.0,4.75,AMD Radeon AMD,0,77990
74,HP,Intel,Core i5,16,DDR4,0.512,4.4,Intel Integrated Iris Xe,0,70990
75,HP,Intel,Core i7,16,DDR4,1.0,4.4,Intel Integrated Iris Xe,0,104990
76,MSI,Intel,Core i7,8,DDR5,0.512,4.7,NVIDIA GeForce RTX 3050,6,79990
77,ASUS,Intel,Core i5,16,LPDDR5,0.512,4.6,Intel Integrated Integrated,0,92990
78,HP,Intel,Core i3,8,DDR4,0.512,4.4,Intel Integrated UHD,0,37990
79,HP,AMD,Athlon Dual Core,4,DDR4,0.256,2.1,NA,0,19990
80,ASUS,AMD,Ryzen 5 Hexa Core,8,DDR4,0.512,4.2,NVIDIA GeForce RTX 2050,4,51990
81,SAMSUNG,Intel,Core i7,16,LPDDR4X,0.512,5.0,Intel Integrated Iris Xe,0,86990
82,HP,Intel,Core i3,8,DDR4,0.512,4.1,Intel Integrated UHD,0,36990
83,HP,AMD,Ryzen 3 Dual Core,8,DDR4,0.512,2.6,NA Radeon Graphics,0,26999
84,HP,AMD,Ryzen 5 Hexa Core,8,DDR4,0.512,4.3,AMD Radeon Radeon Graphics,0,54990
85,HP,AMD,Ryzen 5 Hexa Core,16,DDR4,0.512,4.3,AMD Radeon Radeon Graphics,0,59100
86,MSI,Intel,Core i7,8,DDR4,0.512,4.6,NVIDIA GeForce RTX 3050,4,68590
87,Acer,Intel,Core i7,16,DDR5,1.0,5.0,NVIDIA GeForce RTX 4050,6,109990
88,HP,Intel,Core i7,16,DDR4,1.0,4.7,Intel Integrated UHD Graphics,0,79990
89,MSI,Intel,Core i7,16,DDR4,1.0,4.7,NVIDIA GeForce RTX A1000,4,107990
90,Acer,Intel,Core i5,16,DDR4,0.512,3.3,NVIDIA GeForce RTX 3050,4,78990
91,HP,AMD,Ryzen 3 Dual Core,8,DDR4,0.512,3.5,AMD Radeon AMD,0,26990
92,HP,Intel,Core i5,8,DDR4,0.512,2.6,Intel Integrated Intel® Iris® X Graphics,0,50990
93,HP,Intel,Core i5,16,DDR5,0.512,4.6,NVIDIA GeForce RTX 4050,6,99990
94,HP,AMD,Ryzen 5 Hexa Core,16,LPDDR5,0.512,4.55,AMD Radeon AMD,0,65990
95,MSI,Intel,Core i7,16,DDR5,1.0,4.7,NVIDIA GeForce RTX 4060,8,105990
96,SAMSUNG,Intel,Core i5,16,DDR5,0.512,4.6,Intel Integrated Iris Xe,0,150990
97,HP,AMD,Ryzen 5 Hexa Core,8,DDR4,0.512,4.2,NVIDIA GeForce GTX 1650,4,51990
98,Lenovo,AMD,Ryzen 7 Octa Core,16,DDR4,1.0,4.4,NVIDIA GeForce RTX 3060,6,104990
99,MSI,Intel,Core i7,16,DDR5,1.0,4.7,NVIDIA GeForce RTX 4060,8,99990
100,HP,Intel,Core i9,32,DDR5,2.0,5.0,NVIDIA GeForce RTX 3080Ti,16,255490
101,HP,AMD,Ryzen 3 Dual Core,8,DDR4,0.512,2.1,AMD Radeon AMD Radeon™ Graphics,0,27290
102,HP,Intel,Core i5,8,DDR4,0.256,4.2,Intel Integrated Iris Xe,0,50990
103,HP,Intel,Core i5,16,LPDDR4X,0.512,2.4,Intel Integrated Iris Xe,0,85490
104,Acer,Intel,Core i5,8,DDR4,0.512,4.4,NVIDIA GeForce RTX 3050,4,65990
105,ASUS,Intel,Core i9,16,DDR4,0.512,4.9,NVIDIA GeForce RTX 3050,4,87990
106,HP,Intel,Core i5,16,DDR4,0.512,4.5,Intel Integrated Iris Xe,0,77990
107,HP,Intel,Core i5,8,DDR4,0.512,4.4,Intel Integrated Iris Xe,0,51990
108,HP,Intel,Core i3,8,DDR4,0.256,3.7,Intel Integrated UHD,0,38700
109,HP,Intel,Core i7,16,LPDDR4X,1.0,4.7,Intel Integrated Iris Xe,0,114490
110,HP,Intel,Core i5,8,DDR4,0.512,4.4,Intel Integrated UHD,0,61990
111,HP,Intel,Core i5,8,DDR4,0.512,4.6,Intel Integrated Integrated,0,58990
112,HP,AMD,Ryzen 5 Hexa Core,16,DDR4,0.512,4.2,NVIDIA GeForce RTX 3050,4,63990
113,HP,Intel,Core i3,8,DDR4,0.512,4.1,Intel Integrated UHD,0,40990
114,HP,AMD,Ryzen 3 Dual Core,8,DDR4,0.512,3.5,AMD Radeon Radeon,0,36990
115,HP,Intel,Core i5,16,DDR4,0.512,4.5,NVIDIA GeForce GTX 1650,4,65500
116,HP,Intel,Core i7,16,LPDDR4X,0.512,4.7,NA,0,111990
117,HP,AMD,Ryzen 5 Quad Core,8,LPDDR5,0.512,4.3,AMD Radeon AMD,0,47890
118,HP,AMD,Ryzen 7 Octa Core,16,DDR5,1.0,5.1,NVIDIA GeForce RTX 4050,6,109990
119,HP,Intel,Core i7,16,DDR4,0.512,4.7,NVIDIA GeForce RTX 3050,4,88490
120,HP,AMD,Ryzen 5 Hexa Core,8,DDR4,0.512,4.2,NVIDIA GeForce RTX 3050,4,59990
121,HP,Intel,Core i7,16,LPDDR4X,0.512,4.7,NA,0,141990
122,HP,Intel,Core i5,8,DDR4,0.512,3.7,Intel Integrated Iris Plus,0,99990
123,HP,AMD,Ryzen 3 Quad Core,8,DDR4,0.512,3.5,AMD Radeon AMD,0,30990
124,HP,Intel,Core i5,16,LPDDR5,0.512,4.6,Intel Integrated Iris Xe,0,75990
125,HP,Intel,Core i5,16,DDR4,0.512,4.5,Intel Integrated Iris Xe Graphics,0,72990
